, Force (Kg f), PWM (Âµs)
0,-15.106881560000001,1100
1,-14.873281680000002,1104
2,-14.7644196,1108
3,-14.533087680000001,1112
4,-14.38340232,1116
5,-14.233716960000002,1120
6,-14.04,1124
7,-13.73022984,1128
8,-13.390035840000001,1132
9,-13.213134960000001,1136
10,-13.049841840000001,1140
11,-12.68243232,1144
12,-12.47831592,1148
13,-12.35584608,1152
14,-12.056475360000004,1156
15,-11.86596672,1160
16,-11.66185032,1164
17,-11.430518399999999,1168
18,-11.131147680000002,1172
19,-10.981462319999999,1176
20,-10.66848384,1180
21,-10.43715192,1184
22,-10.0697424,1188
23,-9.865625999999999,1192
24,-9.48460872,1196
25,-9.37574664,1200
26,-9.00833712,1204
27,-8.831436239999999,1208
28,-8.613712079999999,1212
29,-8.32794912,1216
30,-8.20547928,1220
31,-8.01497064,1224
32,-7.8108542399999985,1228
33,-7.6339533600000005,1232
34,-7.49787576,1236
35,-7.30736712,1240
36,-7.2121128,1244
37,-6.939957600000001,1248
38,-6.79027224,1252
39,-6.599763600000001,1256
40,-6.42286272,1260
41,-6.327608399999999,1264
42,-6.123491999999999,1268
43,-5.90576784,1272
44,-5.74247472,1276
45,-5.565573840000001,1280
46,-5.38867296,1284
47,-5.18455656,1288
48,-5.02126344,1292
49,-4.9124013600000005,1296
50,-4.74910824,1300
51,-4.558599600000001,1304
52,-4.422522,1308
53,-4.232013360000001,1312
54,-4.12315128,1316
55,-3.9734659200000007,1320
56,-3.8101727999999997,1324
57,-3.6604874400000007,1328
58,-3.51080208,1332
59,-3.3202934400000013,1336
60,-3.1978235999999995,1340
61,-3.0617459999999994,1344
62,-2.96649168,1348
63,-2.8304140799999997,1352
64,-2.721552,1356
65,-2.6262976799999995,1360
66,-2.49022008,1364
67,-2.34053472,1368
68,-2.2588881599999997,1372
69,-2.15002608,1376
70,-2.06837952,1380
71,-1.9731252,1384
72,-1.8914786399999999,1388
73,-1.7690088,1392
74,-1.67375448,1396
75,-1.5921079200000001,1400
76,-1.5104613599999999,1404
77,-1.4152070399999999,1408
78,-1.33356048,1412
79,-1.23830616,1416
80,-1.1566596000000002,1420
81,-1.0750130399999998,1424
82,-0.96615096,1428
83,-0.8845044,1432
84,-0.78925008,1436
85,-0.7076035199999999,1440
86,-0.6123492,1444
87,-0.51709488,1448
88,-0.4354483199999999,1452
89,-0.36740952,1456
90,-0.2721552,1460
91,-0.21772416,1464
92,-0.16329312,1468
93,-0.10886208,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.17690087999999998,1532
109,0.25854744,1536
110,0.3401939999999999,1540
111,0.4490560800000001,1544
112,0.5443104,1548
113,0.63956472,1552
114,0.7484268,1556
115,0.85728888,1560
116,0.96615096,1564
117,1.0886208000000002,1568
118,1.17026736,1572
119,1.27912944,1576
120,1.4015992800000001,1580
121,1.4968535999999997,1584
122,1.6057156799999999,1588
123,1.71457776,1592
124,1.8234398399999998,1596
125,1.9186941599999998,1600
126,1.9867329599999999,1604
127,2.09559504,1608
128,2.2180648799999996,1612
129,2.34053472,1616
130,2.4493968,1620
131,2.5854744,1624
132,2.66712096,1628
133,2.8031985600000002,1632
134,2.9256684,1636
135,3.0617459999999994,1640
136,3.1842158400000002,1644
137,3.361116719999999,1648
138,3.51080208,1652
139,3.66048744,1656
140,3.8373883199999996,1660
141,3.93264264,1664
142,4.13675904,1668
143,4.31365992,1672
144,4.5858151199999995,1676
145,4.74910824,1680
146,4.92600912,1684
147,5.21177208,1688
148,5.402280719999999,1692
149,5.53835832,1696
150,5.75608248,1700
151,5.94659112,1704
152,6.20513856,1708
153,6.35482392,1712
154,6.599763600000001,1716
155,6.74944896,1720
156,6.980780880000001,1724
157,7.30736712,1728
158,7.56591456,1732
159,7.8244620000000005,1736
160,7.987755120000001,1740
161,8.28712584,1744
162,8.477634479999999,1748
163,8.72257416,1752
164,8.9811216,1756
165,9.171630239999999,1760
166,9.40296216,1764
167,9.661509600000002,1768
168,9.83841048,1772
169,10.069742399999999,1776
170,10.32828984,1780
171,10.64126832,1784
172,10.927031280000001,1788
173,11.17197096,1792
174,11.53938048,1796
175,11.89318224,1800
176,12.30141504,1804
177,12.628001280000005,1808
178,12.98180304,1812
179,13.267565999999999,1816
180,13.662191040000002,1820
181,14.097639360000002,1824
182,14.465048880000001,1828
183,14.79163512,1832
184,15.06379032,1836
185,15.431199840000003,1840
186,15.608100720000001,1844
187,16.179626640000002,1848
188,16.560643920000004,1852
189,16.86001464,1856
190,17.132169840000003,1860
191,17.44514832,1864
192,17.78534232,1868
193,18.179967360000003,1872
194,18.384083760000003,1876
195,18.76510104,1880
196,19.091687280000002,1884
197,19.377450239999998,1888
198,19.6632132,1892
199,19.8673296,1896
200,20.16670032,1900
